PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-GU-A762	0.0076	0.0041	9e-04	0.0086	0.0011	-8e-04	0	0.0131	0	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-GU-A763	0.0078	0.0046	0.0027	0.0039	0.0012	1e-04	-0.0023	0.0107	0.0027	0.0022	TCGA	#BEBEBE80	TRUE
TCGA-GU-A764	0.0075	0.0045	3e-04	0.0047	-0.0012	-3e-04	-0.0016	0.0103	6e-04	0.0109	TCGA	#BEBEBE80	TRUE
TCGA-GU-A767	0.008	0.005	0.0026	0.0033	0.0025	-0.0024	-0.0029	0.006	0.0016	0.0086	TCGA	#BEBEBE80	TRUE
TCGA-GU-AATO	0.0072	0.0043	0.0015	0.006	-0.0011	-0.0033	-0.0037	0.0087	2e-04	0.0073	TCGA	#BEBEBE80	TRUE
TCGA-GU-AATP	0.0075	0.0048	0.0033	0.0085	-0.001	-0.0086	-6e-04	0.0087	0.0014	0.0043	TCGA	#BEBEBE80	TRUE
TCGA-GU-AATQ	0.0072	0.0047	0.001	0.0049	1e-04	6e-04	7e-04	0.0072	0.0032	0.0043	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3JV	0.0077	0.0051	0.0017	0.0082	-7e-04	-0.0041	1e-04	0.0102	0.0026	0.0068	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3JW	0.0054	0.0047	0.0026	0.0051	-0.0042	-0.0032	-0.0032	-0.0098	-0.0032	0.003	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3JX	0.0077	0.0051	0.004	0.0041	0.0019	0.0014	-0.0018	0.0059	-0.0014	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3JZ	0.0076	0.0039	0.0023	0.008	-0.0026	-0.0068	2e-04	-0.0327	5e-04	-0.0113	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3QF	0.0073	0.0048	0.0016	0.0054	-0.001	-0.0011	-1e-04	0.0094	-0.0021	0.0031	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3QG	0.0069	0.0052	0.0015	0.0064	-6e-04	-0.0049	-0.0024	0.0091	4e-04	0.0066	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3QH	0.0067	0.005	0.0026	0.0045	0.0033	-0.0017	3e-04	0.004	-1e-04	0.0025	TCGA	#BEBEBE80	TRUE
TCGA-GV-A3QI	0.0075	0.0047	0.0024	0.0067	-1e-04	-0.0062	-4e-04	0.01	0.0011	0.0089	TCGA	#BEBEBE80	TRUE
TCGA-GV-A40E	0.0075	0.0036	0.0012	0.0051	-0.0025	-0.0053	0.002	-0.0273	-0.0033	-0.0095	TCGA	#BEBEBE80	TRUE
TCGA-GV-A6ZA	0.0075	0.0044	0.0019	0.0022	-7e-04	-1e-04	-0.0025	0.0082	0.0012	0.0056	TCGA	#BEBEBE80	TRUE
TCGA-H4-A2HO	0.0079	0.0051	0.0021	0.0061	-0.001	-0.0065	-8e-04	0.0109	-0.0024	0.0129	TCGA	#BEBEBE80	TRUE
TCGA-HQ-A2OE	0.0071	0.0054	6e-04	0.0028	0.0021	0.0013	-0.0012	0.0046	7e-04	0.0044	TCGA	#BEBEBE80	TRUE
TCGA-HQ-A5ND	0.0072	0.0048	0.0022	0.0074	-0.0025	-0.0059	8e-04	0.0145	8e-04	0.0075	TCGA	#BEBEBE80	TRUE
TCGA-K4-A3WS	0.0077	0.0046	0.002	0.0058	-0.0022	-0.0041	-0.001	0.0104	0.0023	9e-04	TCGA	#BEBEBE80	TRUE
TCGA-K4-A4AC	0.0076	0.0044	0.002	0.003	-5e-04	-6e-04	3e-04	0.0058	-0.0026	0.0063	TCGA	#BEBEBE80	TRUE
TCGA-K4-A54R	0.0075	0.0045	0.0038	0.0035	-5e-04	-0.0031	-1e-04	-0.0099	0	-0.0024	TCGA	#BEBEBE80	TRUE
TCGA-K4-A5RH	0.0074	0.0049	0.0011	1e-04	0.0032	0.0037	-0.0042	0.0096	0.003	-0.0032	TCGA	#BEBEBE80	TRUE
TCGA-K4-A6FZ	0.0077	0.0051	0.002	0.0074	0.0017	-0.0056	-0.0017	0.0152	0.0025	0.0104	TCGA	#BEBEBE80	TRUE
TCGA-K4-A6MB	0.008	0.0056	0.0029	0.0046	0.0012	-0.0016	-0.0011	0.0089	-0.0016	0.0052	TCGA	#BEBEBE80	TRUE
TCGA-K4-A83P	0.0062	0.0051	0.0051	-0.0188	0.0046	0.0208	0.0017	0.0024	3e-04	-0.0089	TCGA	#BEBEBE80	TRUE
TCGA-LT-A8JT	0.0071	0.0042	0.002	0.0111	-0.0014	-0.0088	2e-04	-0.0047	0.0017	-0.001	TCGA	#BEBEBE80	TRUE
TCGA-MV-A51V	0.0075	0.0044	0.0016	0.0058	-0.0027	-0.0039	8e-04	0.0016	-4e-04	0.006	TCGA	#BEBEBE80	TRUE
TCGA-PQ-A6FI	0.0079	0.0049	0.0029	0.0054	-1e-04	-0.0031	-0.0017	0.012	-0.0012	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-PQ-A6FN	0.0074	0.0046	0.0024	0.0066	0.0023	-0.0053	2e-04	0.0132	0.0032	0.0058	TCGA	#BEBEBE80	TRUE
TCGA-R3-A69X	0.0076	0.0045	0	0.0057	-0.0029	-0.0084	0.0011	0.011	-0.0022	0.0037	TCGA	#BEBEBE80	TRUE
TCGA-S5-A6DX	0.0081	0.005	0.0036	0.0025	4e-04	3e-04	1e-04	0.0105	-0.002	0.0054	TCGA	#BEBEBE80	TRUE
TCGA-SY-A9G0	0.0079	0.0053	0.002	0.0071	7e-04	-0.0032	-0.0031	0.0125	0.0039	0.0027	TCGA	#BEBEBE80	TRUE
TCGA-SY-A9G5	0.0076	0.005	0.0032	0.0033	-3e-04	-0.0028	0	0.0114	-8e-04	0.0066	TCGA	#BEBEBE80	TRUE
TCGA-UY-A78K	0.008	0.0046	0.0022	0.0084	-0.0014	-0.0037	5e-04	0.0024	0.002	0.0109	TCGA	#BEBEBE80	TRUE
TCGA-UY-A78L	0.0075	0.0046	0.0015	0.0047	-0.0012	-0.0063	-4e-04	0.0096	0.0038	0.0124	TCGA	#BEBEBE80	TRUE
TCGA-UY-A78N	0.0079	0.0045	4e-04	0.0088	0.0019	-0.0024	-0.0015	0.0031	-8e-04	0.0101	TCGA	#BEBEBE80	TRUE
TCGA-UY-A78O	0.0083	0.0043	8e-04	0.009	-0.0023	-0.0083	0	-0.0242	0.0021	-8e-04	TCGA	#BEBEBE80	TRUE
TCGA-UY-A8OC	0.0078	0.0046	0.0031	0.0011	0.0025	6e-04	-0.0038	0.0063	-1e-04	7e-04	TCGA	#BEBEBE80	TRUE
TCGA-UY-A9PA	0.0081	0.0041	0.0015	0.0095	-7e-04	-0.0094	-0.0011	-0.0305	-7e-04	-0.0107	TCGA	#BEBEBE80	TRUE
